,EmployeeID,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Mean_Work_Hrs
14,15,28.0,Travel_Rarely,Research & Development,1.0,3,Life Sciences,Male,1,Manufacturing Director,Married,25920.0,1.0,14.0,0,5.0,2,5.0,0.0,4.0,No,3,3,4,4,2,6.08968764407561
15,16,37.0,Travel_Rarely,Research & Development,1.0,3,Life Sciences,Male,2,Healthcare Representative,Married,53460.0,4.0,11.0,0,7.0,2,5.0,0.0,1.0,No,3,3,3,4,4,6.705174636661979
16,17,21.0,Travel_Rarely,Research & Development,3.0,2,Life Sciences,Male,1,Laboratory Technician,Single,42130.0,1.0,12.0,3,3.0,3,3.0,1.0,0.0,No,2,3,4,3,4,6.619040626529613
17,18,37.0,Non-Travel,Research & Development,1.0,3,Medical,Male,2,Sales Executive,Divorced,41270.0,2.0,13.0,1,15.0,2,5.0,0.0,2.0,No,3,3,1,4,3,11.014328139114724
18,19,35.0,Travel_Rarely,Sales,7.0,4,Life Sciences,Male,1,Sales Representative,Divorced,24380.0,7.0,16.0,0,10.0,5,7.0,6.0,2.0,No,2,3,2,2,2,6.960253831417625
19,20,38.0,Travel_Rarely,Research & Development,8.0,3,Life Sciences,Female,1,Manager,Divorced,68700.0,1.0,11.0,1,8.0,5,8.0,7.0,7.0,No,3,3,1,1,3,9.293555796055797
20,21,26.0,Travel_Frequently,Research & Development,1.0,4,Other,Male,2,Laboratory Technician,Divorced,104470.0,1.0,18.0,0,6.0,3,6.0,1.0,4.0,No,3,3,3,2,1,7.590778256704981
21,22,50.0,Travel_Rarely,Sales,8.0,4,Life Sciences,Male,1,Research Scientist,Divorced,96670.0,3.0,23.0,0,28.0,2,10.0,1.0,6.0,No,2,4,1,2,2,6.008613495469718
22,23,53.0,Travel_Rarely,Research & Development,11.0,4,Life Sciences,Female,2,Research Scientist,Married,21480.0,3.0,11.0,0,21.0,2,5.0,1.0,3.0,No,3,3,3,3,2,8.402108477011495
23,24,42.0,Travel_Rarely,Research & Development,4.0,4,Life Sciences,Male,1,Manufacturing Director,Married,89260.0,1.0,14.0,0,10.0,4,20.0,11.0,6.0,No,1,3,2,3,3,6.8070052800734615
24,25,29.0,Travel_Frequently,Research & Development,16.0,4,Medical,Male,1,Laboratory Technician,Single,65130.0,1.0,11.0,1,10.0,2,10.0,0.0,9.0,No,3,3,2,4,2,7.093167388167388
25,26,55.0,Travel_Rarely,Research & Development,1.0,4,Other,Female,1,Research Scientist,Married,67990.0,3.0,11.0,0,12.0,2,10.0,0.0,8.0,No,3,3,2,4,3,9.362002074688798
26,27,26.0,Travel_Frequently,Research & Development,9.0,3,Life Sciences,Female,1,Manager,Married,162910.0,1.0,22.0,0,5.0,3,5.0,3.0,3.0,No,3,4,1,1,3,10.977123430962342
27,28,37.0,Travel_Rarely,Sales,5.0,1,Marketing,Male,1,Research Scientist,Single,27050.0,1.0,11.0,0,17.0,2,17.0,5.0,7.0,No,3,3,4,4,3,7.604444444444445
28,29,44.0,Travel_Frequently,Research & Development,1.0,2,Medical,Male,2,Research Scientist,Divorced,103330.0,3.0,14.0,1,19.0,2,1.0,0.0,0.0,Yes,2,3,4,3,1,10.97758573388203
29,30,38.0,Travel_Rarely,Sales,2.0,3,Marketing,Female,1,Manager,Divorced,44480.0,9.0,12.0,0,10.0,3,2.0,1.0,2.0,No,2,3,4,4,3,6.8312753623188405
30,31,26.0,Travel_Rarely,Research & Development,4.0,3,Medical,Male,3,Research Scientist,Divorced,68540.0,2.0,11.0,0,5.0,5,3.0,0.0,2.0,Yes,2,3,1,2,3,10.109408263305323
31,32,28.0,Travel_Rarely,Research & Development,7.0,3,Other,Male,1,Human Resources,Single,96370.0,1.0,13.0,0,5.0,6,5.0,0.0,2.0,No,2,3,4,4,3,6.709665977961432
32,33,49.0,Travel_Frequently,Research & Development,1.0,1,Medical,Female,2,Research Scientist,Single,35910.0,9.0,13.0,0,22.0,2,3.0,1.0,2.0,No,3,3,3,1,3,10.518214624881292
33,34,36.0,Travel_Rarely,Sales,5.0,3,Technical Degree,Male,3,Sales Executive,Single,54050.0,4.0,14.0,0,10.0,2,8.0,7.0,7.0,No,3,3,3,2,3,6.182887517146776
34,35,31.0,Travel_Frequently,Research & Development,9.0,4,Medical,Male,1,Sales Executive,Divorced,46840.0,1.0,16.0,1,2.0,4,2.0,2.0,2.0,No,3,3,4,2,2,6.586388888888889
35,36,26.0,Travel_Rarely,Research & Development,8.0,3,Medical,Male,2,Manager,Single,157870.0,1.0,12.0,2,8.0,5,8.0,7.0,4.0,Yes,3,3,4,4,3,10.272241379310344
36,37,37.0,Travel_Frequently,Sales,9.0,1,Marketing,Male,1,Laboratory Technician,Married,15140.0,1.0,14.0,0,4.0,3,4.0,1.0,2.0,No,3,3,2,4,2,9.982733011937558
37,38,42.0,Travel_Frequently,Sales,2.0,2,Marketing,Male,3,Research Director,Married,29560.0,5.0,13.0,0,23.0,2,20.0,4.0,8.0,No,3,3,3,2,4,5.979567632850242
38,39,18.0,Travel_Rarely,Research & Development,1.0,4,Life Sciences,Male,1,Sales Executive,Single,23350.0,1.0,14.0,2,0.0,3,0.0,0.0,0.0,Yes,2,3,3,3,3,6.775967939304944
39,40,35.0,Travel_Rarely,Sales,20.0,2,Life Sciences,Male,1,Laboratory Technician,Married,51540.0,0.0,19.0,0,12.0,2,11.0,6.0,9.0,No,2,3,3,2,2,7.690160390516039
40,41,36.0,Travel_Frequently,Research & Development,8.0,3,Other,Female,3,Sales Executive,Married,69620.0,4.0,12.0,2,4.0,2,1.0,0.0,0.0,No,2,3,3,3,3,7.204732468123862
41,42,51.0,Travel_Rarely,Research & Development,2.0,3,Life Sciences,Male,2,Laboratory Technician,Divorced,56750.0,5.0,13.0,0,13.0,2,4.0,1.0,2.0,No,2,3,4,2,3,7.594769503546099
42,43,41.0,Travel_Rarely,Research & Development,29.0,1,Life Sciences,Male,1,Laboratory Technician,Single,23790.0,1.0,12.0,0,22.0,6,22.0,0.0,4.0,No,3,3,4,2,3,6.95264233241506
43,44,18.0,Travel_Rarely,Sales,7.0,3,Life Sciences,Male,1,Research Scientist,Single,38120.0,1.0,15.0,0,0.0,3,0.0,0.0,0.0,No,3,3,4,3,3,7.008878472222222
44,45,28.0,Travel_Rarely,Research & Development,9.0,3,Medical,Male,1,Sales Representative,Single,46480.0,0.0,23.0,2,9.0,2,8.0,0.0,7.0,No,2,4,2,1,3,7.201573315118397
45,46,31.0,Travel_Rarely,Research & Development,8.0,1,Technical Degree,Male,1,Manufacturing Director,Married,29360.0,4.0,12.0,1,10.0,2,8.0,7.0,7.0,No,3,3,2,4,2,7.1728749999999994
46,47,39.0,Travel_Rarely,Sales,5.0,4,Marketing,Female,2,Human Resources,Divorced,21050.0,0.0,20.0,0,19.0,3,18.0,3.0,7.0,No,3,4,3,4,2,7.636801418439716
47,48,36.0,Non-Travel,Research & Development,5.0,4,Life Sciences,Male,1,Sales Executive,Married,85780.0,7.0,21.0,0,11.0,4,9.0,0.0,8.0,No,3,4,2,2,3,7.832781293952181
48,49,32.0,Travel_Rarely,Sales,2.0,3,Marketing,Male,2,Laboratory Technician,Married,27060.0,1.0,21.0,1,13.0,4,13.0,4.0,8.0,No,3,4,4,3,2,6.974765051395008
49,50,38.0,Travel_Rarely,Research & Development,5.0,2,Life Sciences,Female,3,Research Scientist,Married,63840.0,3.0,19.0,2,19.0,4,10.0,0.0,1.0,No,2,3,1,2,3,6.906424220272905
50,51,58.0,Non-Travel,Research & Development,2.0,3,Life Sciences,Male,2,Manufacturing Director,Divorced,39680.0,2.0,13.0,2,12.0,3,5.0,1.0,2.0,No,2,3,4,3,3,10.895463728191002
51,52,31.0,Travel_Rarely,Research & Development,20.0,1,Technical Degree,Female,3,Research Scientist,Married,99070.0,0.0,13.0,1,6.0,3,5.0,0.0,3.0,No,2,3,3,4,3,9.12566572902016
52,53,31.0,Travel_Rarely,Sales,7.0,4,Marketing,Male,2,Sales Executive,Married,132250.0,3.0,21.0,1,9.0,2,2.0,1.0,0.0,No,3,4,1,1,3,6.831459786145979
53,54,45.0,Travel_Frequently,Research & Development,3.0,1,Medical,Female,1,Sales Executive,Divorced,35400.0,1.0,13.0,0,24.0,6,24.0,9.0,11.0,No,3,3,1,1,3,7.3160499058380415
54,55,31.0,Travel_Rarely,Sales,16.0,4,Marketing,Female,2,Research Scientist,Divorced,28040.0,0.0,19.0,2,3.0,0,2.0,2.0,2.0,No,3,3,3,4,1,8.610798041894354
55,56,33.0,Travel_Frequently,Research & Development,9.0,3,Life Sciences,Male,4,Research Director,Married,193920.0,6.0,12.0,1,12.0,3,10.0,8.0,8.0,No,3,3,4,2,3,6.784845288326301
56,57,39.0,Travel_Rarely,Sales,1.0,4,Life Sciences,Male,1,Sales Executive,Married,196650.0,1.0,22.0,1,21.0,6,21.0,11.0,10.0,No,3,4,3,1,3,10.98609977324263
57,58,43.0,Travel_Frequently,Research & Development,7.0,4,Medical,Male,4,Research Scientist,Single,24390.0,0.0,15.0,0,9.0,2,8.0,1.0,7.0,No,3,3,3,4,3,7.686584679393049
58,59,49.0,Travel_Rarely,Research & Development,1.0,3,Life Sciences,Male,3,Manufacturing Director,Single,73140.0,7.0,22.0,0,25.0,2,7.0,0.0,7.0,No,3,4,3,3,3,9.948856881572931
59,60,52.0,Travel_Rarely,Research & Development,7.0,1,Life Sciences,Female,2,Research Scientist,Married,47740.0,2.0,18.0,1,11.0,2,8.0,7.0,7.0,Yes,3,3,3,2,2,7.9055276615527665
60,61,27.0,Travel_Rarely,Research & Development,15.0,4,Medical,Male,3,Research Scientist,Single,39020.0,1.0,22.0,0,4.0,2,4.0,1.0,2.0,No,3,4,3,2,2,10.672414617486337
61,62,32.0,Travel_Rarely,Research & Development,1.0,3,Life Sciences,Male,3,Research Scientist,Married,26620.0,1.0,11.0,1,13.0,6,13.0,11.0,9.0,No,4,3,3,2,3,10.496171548117156
62,63,27.0,Travel_Rarely,Research & Development,13.0,2,Medical,Female,4,Research Director,Single,28560.0,1.0,12.0,2,5.0,5,5.0,0.0,4.0,No,4,3,4,3,3,10.069261664261665
63,64,31.0,Travel_Rarely,Sales,24.0,3,Life Sciences,Male,2,Healthcare Representative,Divorced,10810.0,4.0,11.0,3,13.0,4,7.0,1.0,7.0,No,4,3,4,4,3,6.607014174668496
64,65,32.0,Travel_Rarely,Research & Development,7.0,3,Technical Degree,Male,2,Healthcare Representative,Single,24720.0,7.0,13.0,0,10.0,2,7.0,0.0,7.0,No,3,3,1,4,2,7.497914908579466
65,66,28.0,Travel_Rarely,Research & Development,9.0,4,Medical,Male,1,Sales Executive,Married,56730.0,5.0,14.0,1,5.0,4,3.0,2.0,2.0,Yes,2,3,1,4,2,10.727235717498875
66,67,30.0,Travel_Rarely,Research & Development,13.0,3,Life Sciences,Female,4,Research Director,Married,41970.0,1.0,13.0,0,11.0,3,10.0,1.0,9.0,No,3,3,4,4,3,6.184816810344828
67,68,31.0,Travel_Frequently,Research & Development,2.0,1,Life Sciences,Female,1,Manager,Married,97130.0,1.0,17.0,0,10.0,5,10.0,8.0,9.0,No,2,3,3,3,3,6.609300048947627
68,69,39.0,Travel_Frequently,Research & Development,19.0,4,Medical,Female,1,Research Scientist,Married,20620.0,1.0,13.0,0,21.0,4,21.0,13.0,3.0,No,3,3,3,4,3,6.07624634502924
69,70,39.0,Travel_Rarely,Research & Development,1.0,1,Medical,Female,1,Laboratory Technician,Married,42840.0,4.0,17.0,1,12.0,0,1.0,0.0,0.0,Yes,3,3,4,3,2,9.971745709123757
70,71,33.0,Travel_Frequently,Sales,4.0,2,Life Sciences,Male,4,Research Scientist,Single,47880.0,3.0,11.0,1,9.0,0,7.0,0.0,1.0,No,3,3,2,4,2,7.42145202020202
71,72,47.0,Travel_Rarely,Research & Development,4.0,3,Life Sciences,Female,2,Healthcare Representative,Married,59060.0,4.0,23.0,0,21.0,4,3.0,1.0,1.0,No,4,4,4,3,3,6.493810013717422
72,73,43.0,Travel_Frequently,Research & Development,14.0,3,Medical,Female,5,Research Director,Divorced,38860.0,1.0,17.0,2,9.0,2,9.0,0.0,0.0,No,3,3,3,3,4,6.299470449172577
73,74,27.0,Non-Travel,Research & Development,2.0,3,Life Sciences,Male,1,Research Director,Married,168230.0,0.0,17.0,0,6.0,3,5.0,1.0,4.0,No,3,3,3,2,3,9.316973304473304
74,75,54.0,Travel_Frequently,Research & Development,1.0,4,Life Sciences,Male,2,Research Scientist,Single,29330.0,3.0,12.0,2,20.0,2,4.0,0.0,3.0,No,3,3,4,3,2,6.097862787356322
75,76,43.0,Travel_Rarely,Research & Development,7.0,2,Life Sciences,Female,2,Manager,Married,65000.0,8.0,23.0,0,10.0,3,1.0,0.0,0.0,No,3,4,3,1,2,7.217327264239029
76,77,45.0,Travel_Rarely,Sales,3.0,1,Marketing,Female,1,Sales Executive,Married,171740.0,9.0,14.0,1,12.0,6,10.0,9.0,8.0,No,3,3,4,4,3,7.100070018365473
77,78,40.0,Travel_Rarely,Research & Development,2.0,4,Other,Male,4,Research Scientist,Married,50330.0,2.0,14.0,2,6.0,6,4.0,0.0,2.0,No,3,3,2,4,2,9.914107744107744
78,79,29.0,Travel_Rarely,Research & Development,29.0,3,Medical,Female,1,Research Scientist,Married,23070.0,1.0,13.0,1,7.0,0,7.0,0.0,7.0,Yes,3,3,2,1,2,10.477788647342994
79,80,29.0,Travel_Rarely,Human Resources,8.0,3,Medical,Male,3,Sales Representative,Single,25870.0,0.0,22.0,2,4.0,3,3.0,2.0,2.0,No,3,4,2,4,3,6.906938633193864
80,81,30.0,Travel_Rarely,Research & Development,10.0,3,Life Sciences,Male,2,Research Scientist,Divorced,55070.0,1.0,12.0,2,10.0,2,10.0,1.0,2.0,No,2,3,4,3,3,7.589092432950191
81,82,27.0,Travel_Rarely,Research & Development,11.0,2,Medical,Male,1,Manager,Married,43930.0,1.0,18.0,1,8.0,2,8.0,0.0,7.0,No,2,3,2,2,3,6.079724499089253
82,83,37.0,Travel_Rarely,Sales,1.0,4,Life Sciences,Male,2,Healthcare Representative,Divorced,133480.0,7.0,14.0,0,8.0,4,6.0,0.0,4.0,No,3,3,4,4,2,6.001112288135594
83,84,38.0,Travel_Rarely,Research & Development,28.0,4,Medical,Male,1,Laboratory Technician,Divorced,65830.0,0.0,12.0,0,12.0,1,11.0,2.0,9.0,No,3,3,3,4,3,8.983123278236915
84,85,31.0,Travel_Rarely,Research & Development,6.0,3,Medical,Female,3,Manager,Single,81030.0,1.0,15.0,1,11.0,5,11.0,4.0,10.0,No,3,3,3,4,3,10.426184640522875
85,86,29.0,Travel_Rarely,Research & Development,3.0,4,Life Sciences,Male,3,Sales Executive,Divorced,39780.0,1.0,11.0,0,7.0,0,7.0,1.0,7.0,No,3,3,4,2,3,8.387526183970856
86,87,35.0,Travel_Rarely,Sales,16.0,2,Technical Degree,Male,3,Manager,Single,25440.0,0.0,13.0,1,17.0,3,16.0,0.0,13.0,No,4,3,3,2,3,7.9120386266094425
87,88,23.0,Travel_Rarely,Research & Development,20.0,4,Life Sciences,Male,1,Manufacturing Director,Divorced,53990.0,1.0,23.0,0,4.0,2,4.0,0.0,2.0,No,2,4,3,4,2,7.105291842475387
88,89,41.0,Travel_Rarely,Research & Development,9.0,2,Life Sciences,Female,1,Laboratory Technician,Single,54870.0,6.0,19.0,2,8.0,0,5.0,1.0,2.0,No,3,3,4,2,3,9.68863319386332
89,90,47.0,Travel_Frequently,Sales,1.0,3,Medical,Female,2,Laboratory Technician,Single,68340.0,3.0,16.0,1,5.0,2,0.0,0.0,0.0,No,4,3,2,3,3,7.770347512784751
90,91,42.0,Travel_Rarely,Research & Development,3.0,4,Life Sciences,Male,1,Manager,Single,10910.0,2.0,22.0,0,16.0,0,1.0,0.0,0.0,No,1,4,1,4,3,6.284280356305672
91,92,29.0,Non-Travel,Sales,22.0,4,Marketing,Male,2,Human Resources,Married,57360.0,1.0,22.0,0,4.0,1,4.0,0.0,2.0,No,2,4,4,3,2,6.306108726752504
92,93,42.0,Travel_Rarely,Sales,7.0,4,Medical,Male,3,Research Scientist,Divorced,22260.0,0.0,12.0,1,4.0,3,3.0,1.0,0.0,No,2,3,3,3,3,8.831585038986354
93,94,32.0,Travel_Rarely,Research & Development,2.0,3,Medical,Male,2,Research Scientist,Married,57470.0,1.0,13.0,0,8.0,0,8.0,0.0,7.0,No,3,3,3,2,3,7.722377344877345
94,95,48.0,Travel_Rarely,Sales,13.0,4,Medical,Male,4,Sales Executive,Married,98540.0,3.0,16.0,1,15.0,2,0.0,0.0,0.0,No,2,3,1,3,1,7.317479732951837
95,96,37.0,Travel_Rarely,Research & Development,8.0,5,Technical Degree,Male,2,Manufacturing Director,Divorced,54670.0,4.0,12.0,0,13.0,2,7.0,6.0,7.0,No,3,3,3,1,3,10.798262483130904
96,97,30.0,Non-Travel,Sales,25.0,4,Other,Male,1,Healthcare Representative,Married,53800.0,7.0,21.0,1,4.0,0,2.0,2.0,2.0,No,3,4,4,3,4,10.401363945578233
97,98,26.0,Travel_Rarely,Sales,28.0,3,Medical,Female,5,Laboratory Technician,Married,51510.0,1.0,15.0,3,8.0,3,8.0,7.0,7.0,No,3,3,3,3,3,5.994326703246456
98,99,42.0,Travel_Rarely,Sales,2.0,2,Medical,Female,1,Laboratory Technician,Single,21330.0,3.0,13.0,2,14.0,2,1.0,0.0,0.0,No,3,3,1,4,3,6.113110181311018
99,100,21.0,Travel_Frequently,Research & Development,9.0,3,Medical,Female,4,Manufacturing Director,Single,178750.0,1.0,12.0,0,3.0,5,3.0,1.0,2.0,Yes,2,3,1,2,3,8.133578096539162
100,101,36.0,Non-Travel,Human Resources,28.0,3,Human Resources,Male,2,Laboratory Technician,Single,24320.0,4.0,22.0,0,7.0,4,1.0,0.0,0.0,No,1,4,4,4,3,7.306164990421457
101,102,36.0,Travel_Frequently,Research & Development,6.0,3,Life Sciences,Female,2,Research Scientist,Married,47710.0,4.0,13.0,1,16.0,2,13.0,1.0,12.0,No,3,3,1,4,3,7.105030345471522
102,103,57.0,Travel_Rarely,Research & Development,21.0,4,Life Sciences,Male,5,Research Scientist,Married,191610.0,2.0,18.0,0,15.0,2,3.0,1.0,2.0,No,1,3,4,3,3,6.327729314420804
103,104,40.0,Travel_Rarely,Research & Development,8.0,3,Other,Male,2,Sales Executive,Married,50870.0,3.0,14.0,1,10.0,3,7.0,1.0,7.0,No,3,3,4,3,3,8.1285121602289
104,105,21.0,Non-Travel,Research & Development,1.0,5,Life Sciences,Female,2,Manager,Single,28630.0,1.0,14.0,0,3.0,2,3.0,2.0,2.0,No,1,3,1,4,2,7.98643255701116
105,106,33.0,Travel_Rarely,Human Resources,28.0,2,Human Resources,Female,5,Manager,Single,55610.0,1.0,21.0,1,1.0,3,1.0,0.0,0.0,Yes,1,4,4,3,3,10.509096921596921
106,107,37.0,Travel_Rarely,Research & Development,5.0,3,Life Sciences,Male,4,Research Scientist,Married,21440.0,6.0,19.0,0,17.0,3,5.0,0.0,3.0,No,4,3,3,1,3,7.993284030784031
107,108,46.0,Non-Travel,Sales,2.0,4,Marketing,Female,2,Laboratory Technician,Married,30650.0,2.0,11.0,0,7.0,3,1.0,0.0,0.0,No,3,3,3,3,4,6.103653752436648
108,109,41.0,Travel_Frequently,Research & Development,16.0,1,Medical,Female,1,Research Scientist,Single,28100.0,1.0,11.0,0,8.0,3,8.0,7.0,7.0,Yes,4,3,1,2,3,7.587908917501193
109,110,50.0,Travel_Rarely,Research & Development,9.0,3,Medical,Female,3,Laboratory Technician,Single,98880.0,6.0,15.0,0,20.0,2,4.0,1.0,3.0,No,3,3,4,4,3,6.890321256038647
110,111,40.0,Travel_Rarely,Research & Development,8.0,3,Medical,Female,1,Healthcare Representative,Married,86280.0,2.0,20.0,0,8.0,2,6.0,1.0,0.0,Yes,2,4,3,3,3,9.295999525166192
111,112,31.0,Travel_Rarely,Research & Development,1.0,3,Life Sciences,Male,4,Human Resources,Single,28670.0,0.0,24.0,0,3.0,5,2.0,2.0,2.0,No,3,4,3,2,3,10.806078364950315
112,113,21.0,Travel_Rarely,Human Resources,10.0,2,Human Resources,Male,1,Laboratory Technician,Single,53730.0,1.0,12.0,1,1.0,2,1.0,0.0,0.0,Yes,3,3,3,2,3,5.995219806763285
113,114,29.0,Travel_Rarely,Research & Development,1.0,3,Life Sciences,Female,2,Research Director,Single,66670.0,9.0,12.0,1,6.0,6,3.0,1.0,2.0,No,4,3,4,4,3,7.7886099773242625
114,115,35.0,Travel_Rarely,Research & Development,29.0,3,Life Sciences,Female,3,Sales Executive,Single,50030.0,9.0,15.0,0,10.0,2,1.0,0.0,0.0,No,3,3,3,2,3,7.717707156308851
115,116,27.0,Travel_Rarely,Sales,2.0,3,Life Sciences,Male,1,Sales Executive,Divorced,23670.0,2.0,12.0,1,5.0,2,5.0,0.0,4.0,No,3,3,4,2,3,6.189450379867046
116,117,28.0,Travel_Rarely,Research & Development,2.0,2,Medical,Male,3,Manager,Single,28580.0,1.0,12.0,0,7.0,2,7.0,0.0,7.0,No,2,3,2,4,3,7.120614224137931
117,118,49.0,Travel_Rarely,Sales,2.0,3,Technical Degree,Male,2,Manufacturing Director,Single,52040.0,8.0,14.0,1,26.0,3,5.0,0.0,0.0,No,3,3,2,3,3,7.825193287037037
118,119,51.0,Travel_Rarely,Research & Development,1.0,2,Life Sciences,Male,1,Sales Executive,Married,41050.0,4.0,22.0,1,18.0,2,7.0,0.0,7.0,No,3,4,3,4,2,7.619401803118908
119,120,36.0,Travel_Rarely,Sales,15.0,2,Life Sciences,Male,1,Sales Executive,Married,96790.0,4.0,12.0,0,6.0,1,2.0,2.0,2.0,No,3,3,4,3,3,6.002463200379866
120,121,34.0,Non-Travel,Research & Development,7.0,3,Life Sciences,Male,1,Sales Representative,Single,56170.0,8.0,25.0,1,9.0,3,5.0,0.0,4.0,Yes,3,4,1,4,2,9.113126477541371
121,122,55.0,Travel_Rarely,Sales,26.0,3,Marketing,Male,1,Laboratory Technician,Single,104480.0,2.0,13.0,0,30.0,3,5.0,1.0,2.0,No,3,3,3,4,3,8.684139595103579
122,123,24.0,Travel_Rarely,Research & Development,1.0,3,Life Sciences,Female,5,Manager,Divorced,28970.0,1.0,18.0,3,5.0,4,5.0,0.0,3.0,No,3,3,4,3,4,9.993131642512077
123,124,30.0,Travel_Rarely,Research & Development,3.0,3,Life Sciences,Female,2,Manager,Married,59680.0,1.0,13.0,0,1.0,3,1.0,0.0,0.0,No,3,3,3,2,3,6.900539923039924
124,125,26.0,Travel_Frequently,Sales,14.0,3,Life Sciences,Male,2,Manager,Single,75100.0,0.0,18.0,3,7.0,3,6.0,0.0,4.0,Yes,3,3,3,3,3,6.999357638888889
125,126,22.0,Travel_Rarely,Research & Development,16.0,5,Other,Male,1,Research Scientist,Married,29910.0,1.0,19.0,2,2.0,3,2.0,1.0,2.0,No,2,3,1,2,3,6.2862301587301594
126,127,36.0,Travel_Rarely,Research & Development,1.0,3,Medical,Female,5,Healthcare Representative,Married,196360.0,1.0,12.0,1,10.0,3,10.0,9.0,0.0,No,3,3,2,3,3,6.3661511299435025
127,128,30.0,Travel_Frequently,Sales,3.0,2,Marketing,Male,3,Research Scientist,Single,11290.0,9.0,19.0,0,3.0,2,1.0,0.0,0.0,Yes,2,3,3,4,3,8.19166087962963
128,129,37.0,Travel_Rarely,Research & Development,10.0,1,Technical Degree,Male,1,Sales Executive,Divorced,133410.0,1.0,14.0,1,18.0,3,18.0,12.0,17.0,No,3,3,4,1,2,6.45208912037037
129,130,40.0,Travel_Rarely,Research & Development,6.0,2,Medical,Male,3,Research Scientist,Divorced,43320.0,7.0,14.0,2,8.0,3,5.0,1.0,3.0,No,2,3,4,2,3,6.682986714975845
130,131,42.0,Travel_Rarely,Research & Development,2.0,3,Medical,Female,4,Manager,Divorced,110310.0,3.0,12.0,1,8.0,2,5.0,1.0,2.0,No,2,3,2,1,3,7.482647754137116
